number	name	submit	submit_people	accept_people	average_attempt	accept	wrong	time_over	memory_over	output_over	output_type_error	runtime_error	compile_error	accept_proportion	accept_people_proportion	algorithm
5687	Hedge Mazes	19	7	7	2.714	7	4	4	0	0	0	4	0	36.842	100	
5688	In Braille	13	10	10	1.2	11	1	0	0	1	0	0	0	83.333	100	
5689	Jupiter Attacks!	15	7	7	2.143	7	7	0	0	0	0	0	1	46.667	100	자료구조
5690	King’s Poker	6	5	5	1.2	5	0	0	0	0	0	0	1	83.333	100	
5691	평균 중앙값 문제	713	546	540	1.217	576	90	6	2	5	0	9	25	82.192	98.901	
5692	팩토리얼 진법	1229	500	457	2.193	525	124	396	8	19	1	55	101	45.609	91.4	
5693	Ants Colony	5	4	4	1.25	4	1	0	0	0	0	0	0	80	100	트리
5694	Bingo!	4	4	4	1	4	0	0	0	0	0	0	0	100	100	
5695	공원점	135	15	14	9.071	20	56	31	0	21	0	0	7	11.024	93.333	
5696	숫자 세기	42	27	19	1.211	22	6	8	2	0	0	0	4	82.609	70.37	
5697	Electric Needs	4	2	2	2	2	0	2	0	0	0	0	0	50	100	
5698	Tautogram	500	260	252	1.706	280	109	7	1	19	0	57	27	58.605	96.923	
5699	문자열 농장	81	17	12	3.75	19	14	24	12	0	0	11	1	26.667	70.588	
5700	활동과잉 소년 강산이	10	5	5	1.8	6	2	1	0	0	0	1	0	55.556	100	
5701	Ingenious Metro	3	3	3	1	3	0	0	0	0	0	0	0	100	100	
5702	Jollo	72	21	19	1.79	25	44	0	0	0	0	0	3	55.882	90.476	
5703	Kids’ Wishes	8	5	4	1.75	4	3	1	0	0	0	0	0	57.143	80	
5704	팬그램	1425	789	775	1.628	850	290	12	0	56	1	101	115	61.41	98.226	
5705	Hexagonal Tiles	16	13	12	1.25	12	4	0	0	0	0	0	0	80	92.308	
5706	Another Crisis	1	1	1	1	1	0	0	0	0	0	0	0	100	100	
5707	Brothers	2	2	2	1	2	0	0	0	0	0	0	0	100	100	
5708	Code Lock	3	2	1	1	1	2	0	0	0	0	0	0	100	50	
5709	Dinner Hall	1	1	1	1	1	0	0	0	0	0	0	0	100	100	구현
5710	전기 요금	375	108	96	2.885	125	103	106	0	6	0	18	17	34.657	88.889	
5711	File Recover	3	2	2	1	3	0	0	0	0	0	0	0	100	100	
5712	Grapevine	1	1	1	1	1	0	0	0	0	0	0	0	100	100	
5713	Hooligan	2	1	1	2	1	1	0	0	0	0	0	0	50	100	
5714	Isosceles Triangles	5	2	2	2	2	0	3	0	0	0	0	0	50	100	
5715	Jingle Composing	6	6	6	1	6	0	0	0	0	0	0	0	100	100	
5716	Klingon Levels	2	2	2	1	2	0	0	0	0	0	0	0	100	100	
5717	상근이의 친구들	1944	1476	1467	1.212	1576	205	2	0	22	1	52	86	82.508	99.39	
5718	Abwords	3	1	1	3	1	2	0	0	0	0	0	0	33.333	100	
5719	거의 최단 경로	5716	1279	1038	3.489	1723	1813	884	308	30	3	553	402	28.658	81.157	그래프 이론
5720	진법 알아내기	88	7	5	10.8	9	52	13	0	2	0	4	8	9.259	71.429	
5721	사탕 줍기 대회	1539	479	446	2.498	626	272	267	38	17	0	247	72	40.036	93.111	다이나믹 프로그래밍
5722	DNA 부분 수열	14	4	3	2.667	4	4	5	0	0	0	1	0	37.5	75	다이나믹 프로그래밍
5723	Electricity	1	1	1	1	1	0	0	0	0	0	0	0	100	100	
5724	파인만	1103	788	781	1.251	856	164	3	0	11	1	16	52	79.939	99.112	
5725	Pole Position	1	1	1	1	1	0	0	0	0	0	0	0	100	100	
5726	Higgs Boson	2	1	1	2	1	1	0	0	0	0	0	0	50	100	
5727	Traveling Shoemaker Problem	2	1	1	2	1	1	0	0	0	0	0	0	50	100	
5728	Bora Bora	5	1	1	5	1	1	0	0	0	0	3	0	20	100	
5729	수축하는 다각형	184	49	38	2.658	47	71	52	1	4	0	8	1	37.624	77.551	
5730	Acquapia	4	1	1	1	3	0	0	0	0	1	0	0	100	100	
5731	Ambiguous Codes	5	1	1	5	1	0	3	0	0	0	0	1	20	100	다이나믹 프로그래밍
5732	Ballroom Lights	2	1	1	2	1	0	0	0	0	0	0	1	50	100	기하 알고리즘
5733	Car Plates Competition	7	3	3	2.333	3	3	0	0	1	0	0	0	42.857	100	
5734	Drop the Triples	2	1	1	2	1	1	0	0	0	0	0	0	50	100	다이나믹 프로그래밍
5735	Emoticons :-)	171	25	21	3.714	34	26	37	6	16	0	44	8	26.923	84	아호코라식
5736	Finding Seats	3	2	2	1.5	2	1	0	0	0	0	0	0	66.667	100	다이나믹 프로그래밍
5737	Galou is back!	24	5	5	4.6	6	8	0	0	0	9	0	1	21.739	100	BFS
5738	He is offside!	8	8	8	1	8	0	0	0	0	0	0	0	100	100	
5739	ICPC Scoreboard	4	3	2	1	2	2	0	0	0	0	0	0	100	66.667	이분 탐색
5740	Justice League	6	1	1	3	3	1	2	0	0	0	0	0	33.333	100	그래프 이론
5741	Soccer League	9	4	4	1.75	6	3	0	0	0	0	0	0	57.143	100	
5742	Weekend Lottery	1	1	1	1	1	0	0	0	0	0	0	0	100	100	
5743	Lazy Jumping Frog	27	8	8	3.25	9	6	8	0	1	0	0	3	30.769	100	BFS
5744	Jukebox	0	0	0	0	0	0	0	0	0	0	0	0	0	0	브루트 포스
5745	Bubble Maps	1	1	1	1	1	0	0	0	0	0	0	0	100	100	
5746	Onion Layers	4	1	1	4	1	3	0	0	0	0	0	0	25	100	기하 알고리즘
5747	Odd or Even	1	1	1	1	1	0	0	0	0	0	0	0	100	100	
5748	Power Generation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	그래프 이론
5749	Report Recovery	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5750	Turkish Roulette	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5751	Head or Tail	19	11	11	1	19	0	0	0	0	0	0	0	100	100	
5752	Mission Impossible	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5753	Pascal Library	5	3	3	1.667	3	1	0	0	0	0	1	0	60	100	
5754	ICPC Strikes Again	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5755	Optical Fiber	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5756	Where Are My Genes	2	1	1	2	1	0	0	0	0	0	1	0	50	100	
5757	Computer DJ	8	2	2	4	2	1	3	1	1	0	0	0	25	100	
5758	P-Networks	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5759	Light Up	0	0	0	0	0	0	0	0	0	0	0	0	0	0	백트래킹
5760	Land Division Tax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5761	Petanque	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5762	Long Night of Museums	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5763	Magic Trick	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5764	Two-Stacks Solitaire	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5765	Zing Zhu’s Oyster Farm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5766	할아버지는 유명해!	222	114	106	1.717	123	50	8	0	4	1	21	15	58.242	92.982	입문용
5767	Cutting Edge	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5768	Divide and Conquer	16	12	12	1.083	15	1	0	0	0	0	0	0	92.308	100	
5769	Make a Guess	2	1	0	0	0	2	0	0	0	0	0	0	0	0	
5770	Dice	1	1	1	1	1	0	0	0	0	0	0	0	100	100	
5771	Secure Region	1	1	0	0	0	1	0	0	0	0	0	0	0	0	
5772	Runner Pawns	1	1	1	1	1	0	0	0	0	0	0	0	100	100	BFS
5773	The Splitting Club	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5774	Kryptonite Mine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5775	X-Mart	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5776	Telecommunication Partners	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5777	Child Play	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5778	Fake tickets	5	4	4	1.25	4	1	0	0	0	0	0	0	80	100	
5779	Square Lottery	5	2	0	0	0	0	0	0	5	0	0	0	0	0	
5780	Uncle Tom’s Inherited Land	20	6	6	3.167	7	5	0	0	0	0	3	5	31.579	100	
5781	Grandpa’s Rubik Cube	1	1	1	1	1	0	0	0	0	0	0	0	100	100	
5782	This Sentence is False	6	2	2	3	2	3	1	0	0	0	0	0	33.333	100	
5783	Will Indiana Jones Get There?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	기하 알고리즘
5784	Duty Free Shop	4	1	0	0	0	4	0	0	0	0	0	0	0	0	
5785	Not Too Convex Hull	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5786	I hate SPAM, but some people love it	1	1	1	1	1	0	0	0	0	0	0	0	100	100	
5787	Noise Effect	1	1	1	1	1	0	0	0	0	0	0	0	100	100	
5788	Supermarket	1	1	1	1	1	0	0	0	0	0	0	0	100	100	
5789	한다 안한다	1597	897	890	1.632	980	477	1	0	4	1	45	89	61.295	99.22	
5790	Log Books	11	4	4	2.75	4	7	0	0	0	0	0	0	36.364	100	
5791	Myth Busters	9	4	4	2.25	4	5	0	0	0	0	0	0	44.444	100	
5792	CrossNumber	3	3	3	1	3	0	0	0	0	0	0	0	100	100	
5793	Movers Problems	9	2	1	1	1	8	0	0	0	0	0	0	100	50	
5794	Monkey Business	5	2	2	2.5	2	3	0	0	0	0	0	0	40	100	
5795	Fridge lock	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5796	Fat Ninjas	16	6	5	1.8	8	3	3	1	0	0	0	1	55.556	83.333	
5797	Class Packing	4	3	3	1.333	3	1	0	0	0	0	0	0	75	100	
5798	Esspe-Peasee	15	5	4	2.25	6	3	3	0	3	0	0	0	44.444	80	
5799	Slithering Serpent	6	3	3	2	3	2	1	0	0	0	0	0	50	100	
5800	성적 통계	1870	1033	1007	1.658	1083	574	8	0	20	16	62	107	60.299	97.483	
5801	Avoiding a disaster	9	7	7	1.286	7	2	0	0	0	0	0	0	77.778	100	
5802	Roll-call in Woop Woop High	2	1	1	2	1	1	0	0	0	0	0	0	50	100	
5803	Difficult Routes	14	1	1	14	1	6	1	4	0	0	0	2	7.143	100	
5804	RealPhobia	69	18	10	4.1	16	43	1	0	1	0	7	1	24.39	55.556	확장 유클리드 알고리즘
5805	Insidious Branding	6	2	2	2	4	0	0	0	0	0	2	0	50	100	
5806	Help-or-else	7	2	2	3.5	2	0	5	0	0	0	0	0	28.571	100	
5807	Pahom on Water	2	1	1	2	1	1	0	0	0	0	0	0	50	100	
5808	Detour Buster	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5809	Oil Skimming	4	3	3	1.333	3	0	0	0	0	0	1	0	75	100	
5810	Numbers Game	7	1	1	6	2	5	0	0	0	0	0	0	16.667	100	
5811	낙하산 고리들	73	14	12	4.167	15	28	10	11	0	0	5	4	24	85.714	
5812	크래이피쉬 글쓰는 기계	145	43	40	2.375	65	37	7	5	8	0	12	11	42.105	93.023	
5813	이상적인 도시	70	32	29	1.931	31	25	4	0	0	0	0	10	51.786	90.625	
5814	마상시합 토너먼트	81	25	23	2.739	35	26	10	0	0	0	4	6	36.508	92	
5815	HIPERPROSTOR	75	14	9	4.444	18	26	13	3	1	0	4	10	22.5	64.286	
5816	ROTACIJE	2	1	1	2	1	1	0	0	0	0	0	0	50	100	
5817	고통받는 난쟁이들	149	53	47	2.532	53	55	24	0	4	0	5	8	39.496	88.679	
5818	SPIJUNI	12	7	7	1.714	7	4	0	0	0	0	0	1	58.333	100	
5819	열대 식물원	64	18	17	2.353	29	19	2	0	0	0	7	7	42.5	94.444	
5820	경주	619	99	92	5.152	163	216	153	20	2	0	45	20	19.409	92.929	
5821	쌀 창고	151	55	48	1.771	61	71	6	0	2	0	10	1	56.471	87.273	
5822	악어의 지하 도시	86	33	30	2.233	38	32	0	0	0	0	11	5	44.776	90.909	
5823	코끼리	42	16	15	2.067	18	7	8	0	0	0	5	4	48.387	93.75	
5824	Photo	74	13	10	5.5	18	42	8	0	1	0	5	0	18.182	76.923	
5825	Yin and Yang	62	15	14	3.357	20	29	5	5	0	0	2	1	29.787	93.333	
5826	Figure Eight	46	13	11	3.909	12	22	3	2	0	0	7	0	25.581	84.615	
5827	What's Up With Gravity	348	41	29	4.035	105	148	14	4	5	0	30	42	24.786	70.732	
5828	Fuel Economy	17	7	6	1.833	8	7	0	0	1	0	0	1	54.545	85.714	
5829	Luxury River Cruise	14	6	5	1.8	6	2	3	0	0	0	2	1	55.556	83.333	
5830	Bovine Ballet	17	11	11	1.546	11	5	0	0	0	0	1	0	64.706	100	
5831	Blink	22	12	12	1.833	12	6	0	2	0	0	1	1	54.545	100	
5832	Photo	33	17	17	1.882	18	13	2	0	0	0	0	0	53.125	100	
5833	Haywire	31	6	5	6	5	9	16	0	0	0	0	1	16.667	83.333	
5834	The Cow Run	21	14	13	1.308	15	1	0	0	0	0	1	4	76.471	92.857	
5835	Hill Walk	44	13	8	3.125	9	19	12	0	0	0	2	2	32	61.538	
5836	Necklace	50	12	10	2.9	12	18	5	3	0	0	10	2	34.483	83.333	
5837	Poker Hands	28	15	15	1.8	16	11	1	0	0	0	0	0	55.556	100	
5838	Farm Painting	15	8	8	1.875	8	7	0	0	0	0	0	0	53.333	100	
5839	Cow Race	33	20	17	1.588	17	12	0	0	0	0	1	3	62.963	85	
5840	Breed Proximity	34	19	18	1.778	18	9	2	0	0	0	5	0	56.25	94.737	
5841	Breed Assignment	42	19	18	2	23	15	4	0	0	0	0	0	50	94.737	
5842	Partitioning the Farm	24	10	10	1.9	14	10	0	0	0	0	0	0	52.632	100	
5843	Taxi	22	12	8	1.75	8	7	1	0	0	0	3	3	57.143	66.667	
5844	Route Design	7	6	6	1.167	6	0	1	0	0	0	0	0	85.714	100	
5845	Perimeter	58	25	20	1.95	31	15	0	3	1	0	1	7	51.282	80	
5846	Tractor	41	22	18	1.611	19	13	5	0	0	0	0	4	62.069	81.818	
5847	Milk Scheduling	19	15	15	1.267	15	2	1	0	0	0	0	1	78.947	100	
5848	Message Relay	72	40	38	1.605	43	20	5	0	0	1	1	2	62.295	95	
5849	Cow Crossings	41	24	23	1.565	26	12	0	0	0	0	1	2	63.889	95.833	
5850	Perimeter	31	15	13	2	16	12	0	0	0	0	0	3	50	86.667	
5851	Cow Lineup	31	15	13	2	15	6	7	0	0	0	1	2	50	86.667	
5852	Island Travels	5	1	0	0	0	5	0	0	0	0	0	0	0	0	
5853	Seating	26	7	6	2.333	11	9	0	0	0	0	4	2	42.857	85.714	
5854	Painting the Fence	15	10	10	1.4	11	4	0	0	0	0	0	0	71.429	100	
5855	Square Overlap	4	3	2	1.5	2	0	1	0	0	0	0	1	66.667	66.667	
5856	Party Invitations	11	7	6	1.667	6	2	1	0	0	0	1	1	60	85.714	
5857	Mirrors	38	13	9	2.778	9	14	6	3	0	0	3	3	36	69.231	
5858	Painting the Fence	17	7	7	2	9	3	0	0	1	0	2	2	50	100	
5859	거짓말쟁이	57	21	18	2.611	19	23	2	0	0	0	9	4	38.298	85.714	
5860	Gangs of Instanbull/Cowstantinople	3	2	2	1.5	2	1	0	0	0	0	0	0	66.667	100	
5861	First!	77	15	14	3.786	24	30	14	0	0	0	2	7	26.415	93.333	
5862	Running Away From the Barn	9	6	6	1.5	6	3	0	0	0	0	0	0	66.667	100	
5863	Crazy Fences	35	5	3	5.333	10	20	0	3	0	0	1	1	18.75	60	
5864	Wifi Setup	98	19	18	4.556	23	61	8	0	0	0	5	1	21.951	94.737	
5865	Milk Routing	10	8	7	1.286	7	3	0	0	0	0	0	0	77.778	87.5	
5866	Meet and Greet	48	22	20	2.25	21	20	0	0	0	0	6	1	44.444	90.909	
5867	Scrambled Letters	19	13	13	1.385	14	4	1	0	0	0	0	0	72.222	100	
5868	Crazy Fences	50	10	9	4.333	16	18	0	5	0	0	11	0	23.077	90	
5869	Balanced Cow Breeds	26	13	13	1.923	14	10	1	0	0	0	1	0	52	100	
5870	Concurrently Balanced Strings	14	8	7	1.571	7	4	0	0	0	0	1	2	63.636	87.5	
5871	Balanced Trees	17	5	2	1	2	9	6	0	0	0	0	0	100	40	
5872	Clumsy Cows	27	15	13	1.846	13	13	0	0	0	0	0	1	54.167	86.667	
5873	Distant Pastures	47	16	14	2.357	20	17	1	0	0	0	4	5	42.424	87.5	
5874	소를 찾아라	69	44	42	1.5	44	7	9	0	0	0	2	7	66.667	95.455	
5875	오타	92	36	31	2	37	30	4	1	1	0	6	13	50	86.111	
5876	Horseshoes	21	14	14	1.429	15	5	0	0	0	0	0	1	70	100	
5877	Tied Down	9	4	4	2.25	4	3	0	0	0	0	0	2	44.444	100	
5878	Bookshelf	119	22	21	3.381	53	26	10	0	0	0	27	3	29.577	95.455	
5879	Balanced Cow Subsets	186	43	33	3.849	47	70	38	15	1	0	6	9	25.984	76.744	
5880	Unlocking Blocks	4	2	1	3	1	3	0	0	0	0	0	0	33.333	50	
5881	Bookshelf	46	24	23	1.087	34	3	2	0	0	0	7	0	92	95.833	다이나믹 프로그래밍
5882	Running Laps	32	9	9	2.889	14	16	0	0	0	0	2	0	34.615	100	
5883	아이폰 9S	456	164	155	2.303	201	210	3	0	0	0	2020	22	43.417	94.512	
5884	감시 카메라	151	71	59	1.492	66	39	26	1	0	0	12	7	67.045	83.099	
5885	Islands	26	14	13	1.846	13	7	2	0	0	0	3	1	54.167	92.857	
5886	Unlocking Blocks	6	3	2	1	2	2	2	0	0	0	0	0	100	66.667	
5887	Large Banner	5	3	2	2	2	2	0	1	0	0	0	0	50	66.667	
5888	Haybale Restacking	44	20	19	1.947	23	19	0	1	0	0	0	1	51.351	95	
5889	Cows in a Skyscraper	27	13	13	1.692	18	6	2	0	0	0	1	0	59.091	100	
5890	Tractor	22	8	8	2.75	8	11	1	1	0	0	0	1	36.364	100	
5891	Flowerpot	45	16	15	2.467	19	15	6	1	0	0	1	3	40.541	93.75	
5892	Landscaping	37	14	13	2	16	19	1	0	1	0	0	0	50	92.857	
5893	17배	880	410	387	1.912	442	306	2	16	8	0	64	42	52.297	94.39	
5894	Connect the Cows	35	12	11	2.909	12	23	0	0	0	0	0	0	34.375	91.667	
5895	Wrong Directions	13	10	10	1.3	10	3	0	0	0	0	0	0	76.923	100	
5896	효율적으로 소 사기	373	77	62	3.613	95	184	24	0	0	0	36	34	27.679	80.519	
5897	Symmetry	82	19	18	3.889	24	47	6	0	0	0	3	2	25.714	94.737	
5898	Nearby Cows	23	16	15	1.4	15	4	3	0	0	0	1	0	71.429	93.75	
5899	Overplanting	37	23	21	1.619	22	5	1	1	1	0	2	5	61.765	91.304	
5900	Cow IDs	85	34	31	2.194	40	24	2	6	4	0	8	1	45.588	91.176	
5901	Relocation	35	23	22	1.5	23	5	2	2	0	0	2	1	66.667	95.652	
5902	Rope Folding	59	25	24	2.125	25	34	0	0	0	0	0	0	47.059	96	
5903	Overplanting	35	21	21	1.667	21	5	0	0	0	0	0	9	60	100	
5904	Moo 게임	1039	330	265	2.389	399	263	29	166	9	0	109	64	41.864	80.303	
5905	악당 로봇	66	31	30	1.567	44	15	1	1	0	0	3	2	63.83	96.774	
5906	Cow Run	18	5	4	3.25	5	8	4	0	0	0	0	1	30.769	80	
5907	Bovine Alliance	20	15	15	1.267	16	2	0	0	0	0	2	0	78.947	100	
5908	Delivery Route	13	7	6	1.5	6	3	1	3	0	0	0	0	66.667	85.714	
5909	Bale Share	125	46	43	2.093	62	21	7	9	1	0	18	7	47.778	93.478	
5910	Mountain Climbing	29	13	12	1.917	12	13	0	0	0	0	2	2	52.174	92.308	
5911	선물	406	140	81	2.778	98	269	12	1	2	0	7	17	36	57.857	
5912	Haybale Stacking	41	25	25	1.32	30	4	2	0	1	0	2	2	75.758	100	
5913	준규와 사과	551	254	249	1.747	327	186	1	0	2	2	5	28	57.241	98.031	
5914	Cow Photography	74	35	30	1.433	40	19	2	0	0	0	10	3	69.767	85.714	
5915	Simplifying the Farm	42	15	14	2.571	14	24	4	0	0	0	0	0	38.889	93.333	
5916	농장 관리	199	54	53	2.34	113	36	20	6	0	0	17	7	42.742	98.148	Heavy-Light Decomposition
5917	Roadblock	31	24	23	1.217	25	3	1	0	0	0	2	0	82.143	95.833	
5918	Umbrellas for Cows	57	30	29	1.759	34	17	2	0	1	0	3	0	56.863	96.667	
5919	Hay Bales	136	119	119	1.084	125	4	1	0	0	0	4	2	92.248	100	
5920	Cow Photography	57	34	33	1.273	44	7	2	0	0	0	3	1	78.571	97.059	
5921	Escaping the Farm	64	36	32	1.344	39	15	4	0	0	0	3	3	74.419	88.889	
5922	Above the Median	54	33	33	1.333	42	10	1	0	0	0	1	0	75	100	
5923	바이너리 스도쿠	77	28	21	2.81	25	38	6	1	0	0	4	3	35.593	75	
5924	Cow Steeplechase	31	13	12	2.25	13	17	1	0	0	0	0	0	44.444	92.308	
5925	Cow Beauty Pageant	72	34	33	2.091	35	22	1	6	0	0	5	3	47.826	97.059	
5926	Cow Lineup	170	68	62	1.565	98	30	25	8	1	0	4	4	63.918	91.176	
5927	Tile Exchanging	54	32	32	1.5	36	11	2	1	0	0	4	0	66.667	100	
5928	Contest Timing	81	53	53	1.509	54	26	0	0	0	0	0	1	66.25	100	
5929	Awkward Digits	39	33	33	1.182	33	4	2	0	0	0	0	0	84.615	100	
5930	Moo Sick	49	26	26	1.808	28	10	0	1	0	0	10	0	55.319	100	
5931	Cow Beauty Pageant	61	39	37	1.378	42	15	0	0	0	0	1	3	72.549	94.872	
5932	Cow Photographs	28	15	13	1.846	13	15	0	0	0	0	0	0	54.167	86.667	펜윅 트리
5933	Buying Feed	23	11	11	1.909	12	9	0	1	0	0	0	1	52.381	100	
5934	Visiting Cows	15	14	14	1.071	14	0	1	0	0	0	0	0	93.333	100	
5935	Banner	25	13	12	1.75	12	9	2	1	0	0	0	1	57.143	92.308	
5936	Candy	51	13	13	3.462	17	28	4	0	0	0	0	2	28.889	100	
5937	Chocolate Milk	46	17	15	2.733	15	23	2	2	0	0	4	0	36.585	88.235	
5938	Daisy Chains in the Field	41	23	22	1.773	23	16	0	0	0	0	0	2	56.41	95.652	
5939	Race Results	101	76	75	1.293	76	19	0	0	0	0	2	4	77.32	98.684	
5940	Math Practice	62	30	30	2.067	30	27	4	0	0	0	1	0	48.387	100	
5941	Cow Calisthenics	28	12	12	1.917	17	8	2	0	0	0	1	0	52.174	100	
5942	Big Macs Around the World	24	7	7	2.857	11	13	0	0	0	0	0	0	35	100	
5943	Threatening Letter	19	8	7	1.857	11	3	2	0	0	0	2	1	53.846	87.5	
5944	Apple Delivery	49	36	35	1.286	37	4	5	1	0	0	2	0	77.778	97.222	
5945	Treasure Chest	62	21	20	2.7	25	6	0	8	0	0	22	1	37.037	95.238	
5946	The Trough Game	27	19	18	1.333	19	5	0	0	0	0	2	1	75	94.737	
5947	Book Club	76	58	58	1.31	58	11	0	4	0	0	1	2	76.316	100	
5948	Bad Random Numbers	86	69	69	1.13	75	8	2	1	0	0	0	0	88.462	100	
5949	Adding Commas	160	110	109	1.349	115	35	0	0	1	0	4	5	74.15	99.091	
5950	Bottleneck	35	5	3	10.667	3	13	7	7	0	0	3	2	9.375	60	
5951	The Continental Cowngress	18	7	7	1.571	14	1	0	0	0	0	2	1	63.636	100	
5952	Roads and Planes	39	9	9	3.333	13	11	13	0	0	0	1	1	30	100	
5953	Profits	98	48	46	1.717	57	36	2	0	1	0	2	0	58.228	95.833	
5954	Dividing the Gold	133	25	24	4.667	32	69	7	5	0	0	18	2	21.429	96	
5955	Traffic Lights	9	4	4	2.25	4	3	0	1	0	0	1	0	44.444	100	
5956	Symmetry	49	30	30	1.5	34	11	4	0	0	0	0	0	66.667	100	
5957	Cleaning the Dishes	42	32	31	1.097	35	1	0	1	0	0	1	4	91.176	96.875	
5958	Space Exploration	56	37	36	1.333	40	5	4	3	0	0	4	0	75	97.297	
5959	Crop Circles	27	23	23	1.044	26	1	0	0	0	0	0	0	95.833	100	
5960	Cowlphabet	23	14	14	1.643	14	3	1	1	0	0	4	0	60.87	100	
5961	The Lost Cows	20	7	7	2.429	9	4	2	2	2	0	1	0	41.176	100	
5962	Generic Cow Protests	70	33	30	1.833	34	27	4	2	0	0	0	3	54.545	90.909	
5963	Cow Line	24	14	14	1.571	16	7	0	0	0	0	1	0	63.636	100	
5964	Best Parenthesis	35	15	15	2.333	15	17	1	0	0	0	2	0	42.857	100	
5965	The Triangle	22	10	8	1.875	12	8	0	2	0	0	0	0	53.333	80	
5966	Cow Cotillion	74	46	43	1.512	45	26	1	0	0	0	0	2	66.154	93.478	
5967	Cow Treats	32	16	15	1.933	15	16	0	0	0	0	0	1	51.724	93.75	
5968	Hexagonal Pasture Network	27	15	15	1.733	16	11	0	0	0	0	0	0	57.692	100	
5969	Brownie Slicing	19	13	12	1.333	13	4	2	0	0	0	0	0	75	92.308	
5970	Tree Decoration	25	13	13	1.923	13	12	0	0	0	0	0	0	52	100	
5971	Meeting Place	19	14	14	1.071	18	1	0	0	0	0	0	0	93.333	100	
5972	택배 배송	37	24	23	1.304	25	4	2	0	0	0	5	1	76.667	95.833	
5973	Bovine Bridge Battle	16	10	10	1	15	0	1	0	0	0	0	0	100	100	
5974	Lucky Charms	57	39	39	1.205	49	6	0	0	0	0	1	1	82.979	100	
5975	Pathfinding	28	16	16	1.563	19	7	0	0	0	0	0	2	64	100	
5976	A spiral walk	42	25	24	1.292	30	6	1	1	0	3	0	1	77.419	96	
5977	Mowing the Lawn	159	39	38	2.842	60	81	2	0	0	0	4	12	35.185	97.436	
5978	Odd degrees	62	19	16	2.563	21	17	12	0	0	0	7	5	39.024	84.211	
5979	납땜하기	14	5	2	1	3	5	1	4	0	0	1	0	100	40	
5980	Corn Maze	58	24	23	2.174	26	22	0	4	0	0	6	0	46	95.833	
5981	Cow Checkers	54	15	15	3.267	19	28	3	0	0	0	4	0	30.612	100	
5982	Forgotten Password	62	24	23	2.348	27	20	10	1	1	0	0	3	42.593	95.833	
5983	Learning Languages	32	12	12	2.25	14	9	0	0	0	0	7	2	44.444	100	
5984	The Bovine Fire Drill	46	19	17	2.353	20	19	2	0	0	0	1	4	42.5	89.474	
5985	Skewed Sorting	15	11	11	1.364	11	4	0	0	0	0	0	0	73.333	100	
5986	3D Space Exploration	25	19	18	1.278	19	5	0	0	0	0	0	1	78.261	94.737	
5987	String Function Encoding	21	18	18	1.111	19	0	0	0	0	0	2	0	90	100	
5988	홀수일까 짝수일까	6075	2276	2085	2.431	2311	2583	12	1	67	3	592	506	41.14	91.608	
5989	The Robot Plow	8	8	8	1	8	0	0	0	0	0	0	0	100	100	
5990	Barn Echoes	10	9	9	1	10	0	0	0	0	0	0	0	100	100	
5991	Papaya Jungle	6	6	6	1	6	0	0	0	0	0	0	0	100	100	
5992	The Leisurely Stroll	8	7	7	1.143	7	1	0	0	0	0	0	0	87.5	100	
5993	Invasion of the Milkweed	12	7	7	1.714	7	5	0	0	0	0	0	0	58.333	100	
5994	Allowance	4	4	4	1	4	0	0	0	0	0	0	0	100	100	
5995	Bessie's Weight Problem	7	6	6	1	7	0	0	0	0	0	0	0	100	100	
5996	Heat Wave	6	6	6	1	6	0	0	0	0	0	0	0	100	100	
5997	Who Brings the Cookies?	10	7	7	1.143	9	1	0	0	0	0	0	0	87.5	100	
5998	Lights	54	17	16	2.25	24	28	1	0	0	0	0	1	44.444	94.118	
5999	Cow Rescue	2	1	1	1	2	0	0	0	0	0	0	0	100	100	
6000	동전 게임	118	29	21	3.476	39	35	24	9	1	0	6	4	28.767	72.414	다이나믹 프로그래밍
6001	The Grand Farm-off	16	6	6	2.5	7	8	0	0	1	0	0	0	40	100	
